เลขร้านค้า,ชื่อร้านค้า,รายการไอเทม,ราคา
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,ก๋วยเตี๋ยวเส้นปลา,70.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,เส้นปลาน้ำ/แห้ง/ต้มยำ,70.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,วุ้นเส้นต้มยำ,65.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,ก๋วยจั๊บ,65.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,เกาเหลาเลือดหมู,75.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,เกาเหลา + ข้าวเปล่า,75.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,เกี๊ยวทอด,55.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,เพิ่มพิเศษ,15.00
803222,ก๋วยเตี๋ยวลูกชิ้นปลา,Delivery,10.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ข้าวมันไก่,55.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ข้าวมันไก่ทอด,60.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ข้าวมันไก่ทูอินวันธรรมดา,75.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ข้าวยำไก่ทอด,70.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ไก่ต้มสับ,115.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ไก่ทอดสับ,125.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ไก่สับ 2 อย่าง,135.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ไก่ต้ม,45.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ไก่ทอดชิ้น,45.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ข้าวมันเปล่า,15.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,เพิ่มพิเศษ,10.00
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,ใส่กล่องกลับบ้านเพิ่ม,7.00
